timestamp,pagina,dispositivo,score,lcp_s,fcp_s,tbt_ms,cls,speedindex_s,caida
2026-07-28T22:11:18.046Z,Inicio,Escritorio,91,1.4,1.24,23,0.002,1.58,0.22,0
2026-07-28T22:11:18.046Z,Ficha de masaje,Móvil (5G),89,2.94,1.26,280,0,1.7,0.13,0
2026-07-28T22:11:18.046Z,Ficha de masaje,Escritorio,92,1.35,1.21,11,0.002,1.58,0.23,0
2026-07-28T22:11:18.046Z,Elegir masaje (regalo),Móvil (5G),90,1.54,1.17,387,0.062,2.38,0.23,0
2026-07-28T22:11:18.046Z,Elegir masaje (regalo),Escritorio,88,1.32,1.14,49,0.024,2.74,0.22,0
2026-07-28T22:11:18.046Z,Finalizar compra,Móvil (5G),79,1.23,1.23,469,0.17,3.64,2.7,0
2026-07-28T22:11:18.046Z,Finalizar compra,Escritorio,62,1.66,1.15,65,0.431,4.52,4.97,0
2026-07-29T00:05:10.945Z,Inicio,Móvil (5G),95,1.68,1.53,245,0.001,2.03,0.3,0
2026-07-29T00:05:10.945Z,Inicio,Escritorio,87,1.61,1.45,35,0.004,1.85,0.3,0
2026-07-29T00:05:10.945Z,Ficha de masaje,Móvil (5G),86,3.18,1.5,326,0,1.95,0.3,0
2026-07-29T00:05:10.945Z,Ficha de masaje,Escritorio,86,1.64,1.49,20,0.002,1.86,0.3,0
2026-07-29T00:05:10.945Z,Elegir masaje (regalo),Móvil (5G),89,1.92,1.63,375,0.062,2.62,0.18,0
2026-07-29T00:05:10.945Z,Elegir masaje (regalo),Escritorio,83,1.61,1.46,20,0.024,2.7,0.31,0
2026-07-29T00:05:10.945Z,Finalizar compra,Móvil (5G),79,1.8,1.63,387,0.17,4.56,3.71,0
2026-07-29T00:05:10.945Z,Finalizar compra,Escritorio,56,2.22,1.49,54,0.43,4.2,3.12,0
2026-07-29T02:56:17.471Z,Inicio,Móvil (5G),95,1.68,1.13,247,0.001,1.6,0.21,0
2026-07-29T02:56:17.471Z,Inicio,Escritorio,94,1.24,1.06,37,0.002,1.41,0.19,0
2026-07-29T02:56:17.471Z,Ficha de masaje,Móvil (5G),89,2.6,1.21,350,0,1.62,0.21,0
2026-07-29T02:56:17.471Z,Ficha de masaje,Escritorio,93,1.36,1.14,26,0.002,1.46,0.21,0
2026-07-29T02:56:17.471Z,Elegir masaje (regalo),Móvil (5G),89,1.4,1.19,406,0.062,2.95,0.21,0
2026-07-29T02:56:17.471Z,Elegir masaje (regalo),Escritorio,90,1.28,1.05,20,0.024,2.4,0.21,0
2026-07-29T02:56:17.471Z,Finalizar compra,Móvil (5G),77,1.23,1.1,556,0.17,3.8,3.17,0
2026-07-29T02:56:17.471Z,Finalizar compra,Escritorio,66,1.38,1.02,73,0.434,4.07,3.9,0
2026-07-29T06:00:13.171Z,Inicio,Móvil (5G),94,2.06,1.3,258,0.001,2.03,0.23,0
2026-07-29T06:00:13.171Z,Inicio,Escritorio,91,1.38,1.16,29,0.002,1.71,0.23,0
2026-07-29T06:00:13.171Z,Ficha de masaje,Móvil (5G),87,2.92,1.3,329,0,1.84,0.14,0
2026-07-29T06:00:13.171Z,Ficha de masaje,Escritorio,90,1.51,1.22,15,0.002,1.59,0.15,0
2026-07-29T06:00:13.171Z,Elegir masaje (regalo),Móvil (5G),90,1.55,1.22,380,0.062,2.61,0.23,0
2026-07-29T06:00:13.171Z,Elegir masaje (regalo),Escritorio,89,1.36,1.11,14,0.024,2.35,0.23,0
2026-07-29T06:00:13.171Z,Finalizar compra,Móvil (5G),73,1.39,1.33,505,0.17,6.46,5.46,0
2026-07-29T06:00:13.171Z,Finalizar compra,Escritorio,62,1.64,1.13,54,0.451,5.43,5.87,0
2026-07-29T08:50:58.479Z,Inicio,Móvil (5G),96,1.14,1.04,237,0.001,1.7,0.18,0
2026-07-29T08:50:58.479Z,Inicio,Escritorio,94,1.2,1.08,43,0.002,1.28,0.18,0
2026-07-29T08:50:58.479Z,Ficha de masaje,Móvil (5G),89,2.64,1.07,330,0,1.59,0.13,0
2026-07-29T08:50:58.479Z,Ficha de masaje,Escritorio,95,1.2,0.96,15,0.002,1.34,0.17,0
2026-07-29T08:50:58.479Z,Elegir masaje (regalo),Móvil (5G),91,1.3,0.97,343,0.062,2.52,0.11,0
2026-07-29T08:50:58.479Z,Elegir masaje (regalo),Escritorio,88,1.12,0.88,38,0.024,4.02,0.12,0
2026-07-29T08:50:58.479Z,Finalizar compra,Móvil (5G),,,,,,,,1
2026-07-29T08:50:58.479Z,Finalizar compra,Escritorio,,,,,,,,1
2026-07-29T11:33:36.781Z,Inicio,Móvil (5G),92,1.7,1.54,318,0.001,2.14,0.3,0
2026-07-29T11:33:36.781Z,Inicio,Escritorio,87,1.57,1.39,46,0.004,1.9,0.28,0
